Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status
Single,1st phase - general,1,Basic Education,Daytime,Sec Ed - 12th,140.0,Portuguese,Basic 3rd cycle,Basic 3rd cycle,Skilled workers,Skilled workers,124.6,Yes,No,No,Yes,Female,No,18,No,0,7,7,6,11.666666666666666,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,Enrolled
Single,1st phase - general,3,Multimedia Design,Daytime,Sec Ed - 12th,122.0,Portuguese,Sec Ed - 12th,Sec Ed - 12th,Unskilled workers,Machine operators,120.3,No,No,No,Yes,Female,Yes,21,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Graduate
Single,3rd phase - general,4,Oral Hygiene,Daytime,Sec Ed - 12th,127.0,Portuguese,Sec Ed - 12th,Basic 2nd cycle,Admin staff,Skilled workers,121.8,Yes,No,No,Yes,Female,No,20,No,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,12.7,3.7,-1.7,Enrolled
Single,1st phase - general,4,Nursing,Daytime,Sec Ed - 12th,142.0,Portuguese,Basic 3rd cycle,Basic 3rd cycle,Executives,Executives,125.5,Yes,No,No,Yes,Female,No,18,No,0,8,12,7,12.857142857142858,0,0,8,12,7,12.857142857142858,0,12.7,3.7,-1.7,Graduate
Single,1st phase - general,4,Marketing Mgmt,Daytime,Sec Ed - 12th,125.0,Portuguese,Sec Ed - 12th,Basic 2nd cycle,Admin staff,Skilled workers,114.9,Yes,No,No,Yes,Female,Yes,19,No,0,6,8,6,13.375,0,0,6,7,6,12.285714285714286,0,11.1,0.6,2.02,Graduate
Single,1st phase - general,1,Nursing,Daytime,Sec Ed - 12th,126.0,Portuguese,Basic 3rd cycle,Basic 3rd cycle,Technicians,Skilled workers,123.9,No,No,No,Yes,Female,No,19,No,0,7,8,6,13.296666666666669,0,0,8,9,7,14.114285714285714,0,11.1,0.6,2.02,Graduate
Single,1st phase - general,1,Social Service,Daytime,Sec Ed - 12th,151.0,Portuguese,Basic 3rd cycle,Basic 2nd cycle,Unskilled workers,Unskilled workers,157.0,Yes,No,Yes,Yes,Female,Yes,18,No,0,6,8,5,11.6,0,0,6,12,4,11.0,0,7.6,2.6,0.32,Enrolled
Single,2nd phase - general,2,Social Service,Daytime,Sec Ed - 12th,115.0,Portuguese,Basic 3rd cycle,Basic 2nd cycle,Skilled workers,Machine operators,116.4,Yes,No,No,Yes,Female,No,21,No,0,6,9,6,11.375,0,0,6,9,6,13.285714285714286,0,16.2,0.3,-0.92,Graduate
Single,1st phase - general,1,Vet Nursing,Daytime,Sec Ed - 12th,138.0,Portuguese,Basic 3rd cycle,Basic 3rd cycle,Technicians,Technicians,131.0,Yes,No,No,Yes,Female,No,18,No,0,5,9,5,12.666666666666666,2,0,5,7,4,13.0,0,9.4,-0.8,-3.12,Enrolled
Single,1st phase - general,1,Management,Daytime,Sec Ed - 12th,135.0,Portuguese,Basic 3rd cycle,Sec Ed - 12th,Unskilled workers,Unskilled workers,122.1,Yes,No,No,Yes,Female,No,20,No,0,5,6,5,12.0,0,0,5,6,5,12.333333333333334,0,16.2,0.3,-0.92,Graduate
Single,2nd phase - general,2,Nursing,Daytime,Sec Ed - 12th,127.0,Portuguese,Degree,Degree,Executives,Military,118.8,Yes,No,No,Yes,Male,No,19,No,0,7,9,6,12.933333333333332,0,0,7,7,6,13.716666666666669,0,16.2,0.3,-0.92,Enrolled
Single,Tech diploma,1,Agronomy,Daytime,Tech spec,150.0,Portuguese,Master,Doctorate,Admin staff,Scientists,150.0,No,No,No,Yes,Male,No,21,No,0,6,15,5,11.857142857142858,0,0,6,17,5,10.571428571428571,0,16.2,0.3,-0.92,Enrolled
Single,Change inst/course,1,Comm Design,Daytime,Sec Ed - 12th,125.0,Portuguese,Prof higher tech,Degree,ICT specialists,Finance/Admin Specialists,130.0,Yes,No,No,Yes,Male,No,20,No,2,6,7,6,12.833333333333334,0,0,6,9,4,13.4,0,8.9,1.4,3.51,Graduate
Single,1st phase - general,1,Management,Daytime,Sec Ed - 12th,143.0,Portuguese,Sec Ed - 12th,Sec Ed - 12th,Admin staff,Farmers,138.8,No,No,No,No,Male,No,18,No,0,5,9,3,11.333333333333334,0,0,5,8,2,13.5,0,8.9,1.4,3.51,Enrolled
Single,3rd phase - general,1,Social Service (evening),Evening,Sec Ed - 12th,138.0,Portuguese,Basic 3rd cycle,Sec Ed - 12th,Unskilled workers,Services/Sales,134.5,Yes,No,No,Yes,Female,No,19,No,0,6,6,6,12.666666666666666,0,0,6,8,6,14.375,0,12.4,0.5,1.79,Graduate
Single,1st phase - general,1,Management (evening),Evening,Sec Ed - 12th,130.0,Portuguese,Bachelor,Basic 1st cycle,Technicians,Unskilled workers,131.4,No,No,No,Yes,Male,No,34,No,0,5,6,5,12.4,0,0,5,9,5,13.428571428571429,0,13.9,-0.3,0.79,Graduate
Single,Over 23 y/o,1,Biofuel Tech,Daytime,Sec Ed - 12th,130.0,Portuguese,Basic 2nd cycle,Basic 1st cycle,Unskilled workers,Farmers,102.5,No,No,Yes,No,Male,No,37,No,0,7,7,0,0.0,0,0,7,7,1,10.0,0,8.9,1.4,3.51,Dropout
Single,Over 23 y/o,1,Informatics Eng,Daytime,11th not completed,133.1,Portuguese,Unknown,Basic 1st cycle,Student,Student,128.8,Yes,No,No,Yes,Male,No,43,No,0,5,0,0,0.0,0,0,5,0,0,0.0,0,7.6,2.6,0.32,Dropout
Single,Change course,1,Management,Daytime,Sec Ed - 12th,140.0,Portuguese,Basic 1st cycle,Basic 1st cycle,Farmers,Farmers,122.9,No,No,No,Yes,Female,No,55,No,0,5,10,1,10.0,0,0,5,8,2,12.0,2,16.2,0.3,-0.92,Dropout
Divorced,Over 23 y/o,1,Management (evening),Evening,Sec Ed - 12th,120.0,Portuguese,Basic 3rd cycle,Basic 3rd cycle,Unskilled workers,Technicians,113.9,Yes,No,No,Yes,Female,No,39,No,0,5,8,5,11.0,0,0,5,5,5,11.6,0,7.6,2.6,0.32,Graduate
Single,Tech diploma,1,Equinculture,Daytime,Tech spec,120.0,Spanish,Master,Master,Technicians,Farmers,120.0,No,No,Yes,No,Female,No,20,Yes,2,6,13,3,11.666666666666666,0,1,6,11,3,12.0,0,12.4,0.5,1.79,Dropout
Single,1st phase - general,5,Journalism,Daytime,Sec Ed - 12th,126.0,Portuguese,Degree,Degree,Scientists,Scientists,121.1,No,No,Yes,Yes,Female,No,18,No,0,6,6,4,12.75,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout
Single,1st phase - general,2,Management,Daytime,Sec Ed - 12th,133.0,Portuguese,Degree,Basic 3rd cycle,Scientists,Skilled workers,120.4,Yes,No,No,Yes,Female,No,22,No,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,Graduate
Single,1st phase - general,6,Nursing,Daytime,Sec Ed - 12th,103.0,Portuguese,Sec Ed - 12th,Degree,Scientists,Scientists,100.6,Yes,Yes,No,Yes,Female,No,22,No,0,7,9,5,13.928,0,0,8,9,7,14.342857142857142,0,11.1,0.6,2.02,Graduate
Single,2nd phase - general,1,Journalism,Daytime,Sec Ed - 12th,120.0,Portuguese,Sec Ed - 12th,Basic 2nd cycle,Services/Sales,Services/Sales,121.4,No,No,No,No,Female,No,20,No,0,6,7,4,13.0,0,0,6,7,5,13.8,0,12.4,0.5,1.79,Dropout
Single,Over 23 y/o,1,Management (evening),Evening,Sec Ed - 12th,133.1,Portuguese,Basic 1st cycle,Basic 1st cycle,Unskilled workers,Unskilled workers,109.7,No,No,No,Yes,Female,No,29,No,0,5,0,0,0.0,0,0,5,0,0,0.0,0,16.2,0.3,-0.92,Dropout
Single,2nd phase - general,1,Management (evening),Evening,Sec Ed - 12th,154.0,Portuguese,Basic 2nd cycle,Basic 2nd cycle,Admin staff,Services/Sales,134.1,No,No,No,Yes,Female,No,24,No,0,5,9,2,11.5,0,0,5,11,3,14.333333333333334,1,7.6,2.6,0.32,Enrolled
Single,2nd phase - general,2,Social Service,Daytime,Sec Ed - 12th,130.0,Portuguese,Basic 3rd cycle,Basic 3rd cycle,Unskilled workers,Unskilled workers,127.6,Yes,No,No,Yes,Female,No,18,No,0,6,6,6,11.666666666666666,0,0,6,8,5,13.2,0,11.1,0.6,2.02,Graduate
Single,2nd phase - general,6,Nursing,Daytime,Sec Ed - 12th,132.0,Portuguese,Basic 1st cycle,Basic 3rd cycle,Skilled workers,Skilled workers,132.4,Yes,No,No,Yes,Female,Yes,22,No,0,7,8,6,13.516666666666666,0,0,8,9,7,13.771428571428572,0,11.1,0.6,2.02,Graduate
Single,Tech diploma,1,Social Service (evening),Evening,Tech spec,130.0,Portuguese,Sec Ed - 12th,Basic 3rd cycle,Unskilled workers,Unskilled workers,133.4,No,No,No,Yes,Female,Yes,21,No,3,6,6,6,11.5,0,2,6,7,6,13.285714285714286,0,12.4,0.5,1.79,Graduate
Single,1st phase - general,1,Social Service,Daytime,Sec Ed - 12th,139.0,Portuguese,Basic 1st cycle,Basic 2nd cycle,Unskilled workers,Unskilled workers,126.1,No,No,No,Yes,Female,Yes,19,No,0,6,7,5,12.333333333333334,0,0,6,7,6,12.833333333333334,0,12.7,3.7,-1.7,Graduate
Single,Over 23 y/o,1,Tourism,Daytime,Sec Ed - 12th,130.0,Portuguese,Basic 3rd cycle,Basic 2nd cycle,Unskilled workers,Skilled workers,113.5,No,No,No,Yes,Female,Yes,24,No,0,6,6,6,13.666666666666666,0,0,6,6,6,14.166666666666666,0,12.4,0.5,1.79,Graduate
Single,1st phase - general,1,Nursing,Daytime,Sec Ed - 12th,139.0,Portuguese,Basic 1st cycle,Basic 2nd cycle,Farmers,Farmers,121.3,Yes,No,No,Yes,Female,Yes,19,No,0,8,10,6,11.833333333333334,0,0,8,10,6,11.833333333333334,0,9.4,-0.8,-3.12,Enrolled
Single,1st phase - general,1,Journalism,Daytime,Sec Ed - 12th,127.0,Portuguese,Sec Ed - 12th,Basic 3rd cycle,Skilled workers,Skilled workers,121.8,Yes,No,No,Yes,Female,Yes,20,No,0,6,11,4,14.0,0,0,6,12,3,11.0,0,9.4,-0.8,-3.12,Enrolled
Single,1st phase - general,3,Equinculture,Daytime,Sec Ed - 12th,167.0,Portuguese,Basic 1st cycle,Basic 1st cycle,Other,Other,159.3,No,No,No,Yes,Female,No,19,No,0,5,7,5,14.714285714285714,0,0,5,5,5,15.8,0,7.6,2.6,0.32,Graduate
Single,Over 23 y/o,1,Management (evening),Evening,Sec Ed - 12th,130.0,Portuguese,Basic 2nd cycle,Basic 2nd cycle,Unskilled workers,Unskilled workers,120.0,No,No,No,Yes,Female,No,27,No,0,5,12,5,10.6,0,0,5,10,5,11.0,0,9.4,-0.8,-3.12,Dropout
Single,1st phase - general,1,Nursing,Daytime,Sec Ed - 12th,130.0,Portuguese,Sec Ed - 12th,Basic 3rd cycle,Services/Sales,Services/Sales,129.1,Yes,No,No,Yes,Female,No,18,No,0,7,9,7,13.044444444444444,0,0,8,10,8,13.595,0,15.5,2.8,-4.06,Graduate
Married,Other higher courses,1,Tourism,Daytime,Degree,130.0,Portuguese,Sec Ed - 12th,Degree,Admin staff,Technicians,130.0,No,No,No,Yes,Female,No,39,No,0,6,10,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,Dropout
Single,Over 23 y/o,1,Equinculture,Daytime,Degree (1st cycle),129.0,Portuguese,Degree,Degree,Scientists,Scientists,155.3,Yes,No,No,Yes,Female,No,27,No,0,6,9,5,13.0,0,5,11,13,10,12.9,0,12.4,0.5,1.79,Dropout
Single,2nd phase - general,1,Nursing,Daytime,Sec Ed - 12th,141.0,Portuguese,Basic 2nd cycle,Basic 2nd cycle,Skilled workers,Military,139.8,Yes,No,No,Yes,Female,No,18,No,0,8,8,8,14.935,0,0,8,8,8,14.935,0,9.4,-0.8,-3.12,Graduate
Single,1st phase - general,3,Multimedia Design,Daytime,Sec Ed - 12th,125.0,Portuguese,Basic 2nd cycle,Basic 1st cycle,Admin staff,Unskilled workers,115.2,Yes,No,No,Yes,Female,No,18,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Enrolled
Single,1st phase - general,2,Nursing,Daytime,Sec Ed - 12th,125.0,Portuguese,Basic 3rd cycle,Basic 3rd cycle,Unskilled workers,Unskilled workers,114.9,No,No,No,Yes,Female,No,18,No,0,7,8,6,13.133333333333333,0,0,8,12,7,12.221428571428572,0,16.2,0.3,-0.92,Graduate
Single,Tech diploma,1,Social Service,Daytime,Tech spec,130.0,Portuguese,Basic 3rd cycle,Sec Ed - 12th,Unskilled workers,Unskilled workers,131.9,No,No,No,Yes,Female,Yes,21,No,3,6,7,6,12.0,0,2,6,7,6,12.0,0,13.9,-0.3,0.79,Graduate
Single,2nd phase - general,3,Multimedia Design,Daytime,Sec Ed - 12th,133.0,Portuguese,Sec Ed - 12th,Basic 1st cycle,Admin staff,Skilled workers,126.0,Yes,No,No,Yes,Male,Yes,19,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Enrolled
Single,2nd phase - general,1,Comm Design,Daytime,Sec Ed - 12th,127.0,Portuguese,Sec Ed - 12th,Sec Ed - 12th,Technicians,Admin staff,130.2,Yes,No,No,Yes,Male,No,19,No,0,6,6,5,11.4,0,0,6,8,1,10.0,0,10.8,1.4,1.74,Enrolled
Single,Change course,1,Comm Design,Daytime,Sec Ed - 12th,116.0,Portuguese,Sec Ed - 12th,Sec Ed - 12th,Technicians,Technicians,120.9,No,No,No,Yes,Male,No,24,No,0,6,6,0,0.0,0,0,6,6,0,0.0,0,12.7,3.7,-1.7,Enrolled
Divorced,Transfer,1,Nursing,Daytime,Basic 3rd cycle,133.1,Portuguese,Sec Ed - 12th,Sec Ed - 12th,Services/Sales,Services/Sales,126.0,Yes,No,No,Yes,Male,No,29,No,2,7,10,5,11.9,0,1,8,10,5,11.0,0,13.9,-0.3,0.79,Dropout
Single,1st phase - general,3,Multimedia Design,Daytime,Sec Ed - 12th,139.0,Portuguese,Basic 3rd cycle,Basic 3rd cycle,Services/Sales,Technicians,128.2,Yes,No,No,Yes,Male,Yes,19,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Graduate
Single,Tech diploma,1,Agronomy,Daytime,Tech spec,130.0,Portuguese,Basic 3rd cycle,Basic 1st cycle,Unskilled workers,Unskilled workers,130.0,Yes,No,No,Yes,Male,No,23,No,0,6,8,6,12.571428571428571,0,0,6,7,6,12.428571428571429,0,8.9,1.4,3.51,Graduate
Single,1st phase - general,3,Management,Daytime,Sec Ed - 12th,125.0,Portuguese,Sec Ed - 12th,Basic 2nd cycle,Skilled workers,Skilled workers,120.1,No,No,Yes,Yes,Male,No,19,No,0,5,8,5,11.2,0,0,5,10,4,10.75,3,16.2,0.3,-0.92,Dropout
Single,Over 23 y/o,1,Tourism,Daytime,Sec Ed - 12th,160.0,Portuguese,Basic 3rd cycle,Basic 1st cycle,Skilled workers,Military,100.0,No,No,No,Yes,Male,No,26,No,0,6,7,6,12.0,0,0,6,8,5,10.8,0,12.7,3.7,-1.7,Enrolled
Single,2nd phase - general,1,Management,Daytime,Sec Ed - 12th,148.0,Portuguese,Basic 2nd cycle,Basic 1st cycle,Services/Sales,Services/Sales,134.0,No,No,No,Yes,Male,No,18,No,0,5,9,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Enrolled
Single,2nd phase - general,1,Nursing,Daytime,Sec Ed - 12th,150.0,Portuguese,Basic 1st cycle,Basic 3rd cycle,Machine operators,Admin staff,130.8,No,No,No,Yes,Male,No,24,No,0,7,8,7,11.975,0,0,8,8,8,13.75,0,13.9,-0.3,0.79,Graduate
Single,1st phase - general,1,Multimedia Design,Daytime,Sec Ed - 12th,141.0,Portuguese,Basic 3rd cycle,Basic 3rd cycle,Services/Sales,Military,135.8,Yes,No,No,Yes,Male,No,19,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Dropout
Single,2nd phase - general,4,Tourism,Daytime,Sec Ed - 12th,118.0,Portuguese,Basic 2nd cycle,Basic 1st cycle,Services/Sales,Skilled workers,111.7,Yes,No,No,Yes,Male,No,18,No,0,6,12,3,11.666666666666666,0,0,6,12,1,12.0,0,12.4,0.5,1.79,Dropout
Single,1st phase - general,2,Journalism,Daytime,Sec Ed - 12th,142.0,Portuguese,Basic 2nd cycle,Basic 2nd cycle,Unskilled workers,Unskilled workers,132.9,Yes,No,No,Yes,Male,No,18,No,0,6,8,6,12.333333333333334,0,0,6,11,3,12.333333333333334,0,10.8,1.4,1.74,Graduate
Single,2nd phase - general,3,Management,Daytime,Sec Ed - 12th,120.0,Portuguese,Basic 3rd cycle,Basic 3rd cycle,Admin staff,Skilled workers,115.5,Yes,No,Yes,Yes,Male,No,18,No,0,5,8,3,10.333333333333334,0,0,5,11,3,10.857142857142858,0,10.8,1.4,1.74,Dropout
Single,3rd phase - general,4,Tourism,Daytime,Sec Ed - 12th,106.0,Portuguese,Basic 3rd cycle,Basic 1st cycle,Skilled workers,Skilled workers,106.0,Yes,No,No,Yes,Male,Yes,21,No,0,6,8,4,10.5,0,0,6,11,1,11.0,0,9.4,-0.8,-3.12,Dropout
Single,2nd phase - general,4,Journalism,Daytime,Sec Ed - 12th,121.0,Portuguese,Sec Ed - 12th,Basic 3rd cycle,Unskilled workers,Machine operators,120.3,Yes,No,Yes,Yes,Male,Yes,19,No,0,6,6,6,13.666666666666666,0,0,6,6,6,13.333333333333334,0,8.9,1.4,3.51,Graduate
Single,2nd phase - general,4,Nursing,Daytime,Sec Ed - 12th,150.0,Portuguese,Basic 2nd cycle,Basic 1st cycle,Unskilled workers,Unskilled workers,130.8,No,No,No,Yes,Male,Yes,22,No,0,7,7,7,14.842857142857142,0,0,8,9,8,15.055555555555555,0,16.2,0.3,-0.92,Graduate
Married,Over 23 y/o,1,Social Service (evening),Evening,Sec Ed - 12th,120.0,Portuguese,Basic 1st cycle,Basic 1st cycle,Unskilled workers,Farmers,117.0,No,No,No,Yes,Male,No,33,No,0,6,8,6,12.0,0,0,6,6,6,11.666666666666666,0,10.8,1.4,1.74,Graduate
Single,1st phase - general,6,Basic Education,Daytime,Sec Ed - 12th,114.0,Portuguese,Basic 3rd cycle,Basic 3rd cycle,Unskilled workers,Unskilled workers,110.2,Yes,No,No,Yes,Male,No,20,No,0,6,8,5,12.2,0,0,6,7,5,12.2,0,10.8,1.4,1.74,Dropout
Single,Over 23 y/o,1,Management (evening),Evening,Bachelor,140.0,Portuguese,Degree,Degree,Scientists,Scientists,155.7,Yes,No,No,Yes,Male,No,35,No,0,1,1,0,0.0,1,0,5,0,0,0.0,0,10.8,1.4,1.74,Dropout
Single,Over 23 y/o,1,Agronomy,Daytime,Master,160.0,Portuguese,Degree,Degree,Admin staff,Scientists,180.4,No,No,Yes,Yes,Male,No,24,No,6,12,17,6,12.166666666666666,0,7,12,14,10,13.3,0,12.4,0.5,1.79,Dropout
Single,2nd phase - general,1,Tourism,Daytime,Sec Ed - 12th,120.0,Portuguese,Basic 3rd cycle,Basic 3rd cycle,Admin staff,Admin staff,125.5,No,No,No,Yes,Male,No,18,No,0,5,6,5,12.0,0,0,5,8,3,11.333333333333334,0,12.7,3.7,-1.7,Enrolled
Married,Over 23 y/o,1,Social Service (evening),Evening,Sec Ed - 12th,130.0,Portuguese,Basic 1st cycle,Basic 1st cycle,Unskilled workers,Farmers,110.0,Yes,No,No,Yes,Female,No,33,No,0,6,7,6,11.0,0,0,6,11,5,11.0,0,9.4,-0.8,-3.12,Graduate
Single,Transfer,1,Nursing,Daytime,Sec Ed - 12th,160.0,Portuguese,Basic 1st cycle,Basic 2nd cycle,Unskilled workers,Skilled workers,161.0,Yes,No,No,Yes,Female,Yes,22,No,0,8,8,7,13.08,0,0,8,8,7,13.08,0,10.8,1.4,1.74,Graduate
Single,Over 23 y/o,1,Marketing Mgmt,Daytime,Sec Ed - 12th,120.0,Portuguese,Sec Ed - 12th,Basic 3rd cycle,Admin staff,Services/Sales,100.0,No,No,No,Yes,Female,Yes,25,No,0,5,7,4,10.5,0,0,5,7,5,11.6,0,9.4,-0.8,-3.12,Graduate
Single,2nd phase - general,1,Comm Design,Daytime,Sec Ed - 12th,124.0,Portuguese,Basic 3rd cycle,Basic 2nd cycle,Admin staff,Student,117.6,Yes,No,No,Yes,Male,No,20,No,0,6,9,6,10.666666666666666,1,0,6,6,5,11.2,0,7.6,2.6,0.32,Graduate
